R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3pm,PTS,TREB,AST,STL,BLK,TO,TOTAL
1,1.1,Nikola Jokic,C,DEN,72,33.6,0.624(9.2/14.8),0.821(5.0/6.1),1,24.5,11.7,9.7,1.4,0.7,3.7,14.71
2,2.9,Joel Embiid,C,PHI,67,34.2,0.537(10.8/20.0),0.836(9.9/11.9),1.2,32.6,10.2,4.2,1.1,1.6,3.3,13.81
3,6.1,Shai Gilgeous-Alexander,"PG,SG",OKC,67,35.5,0.486(9.7/20.0),0.884(9.2/10.4),1,29.6,5,5.6,1.5,0.9,2.9,11.17
4,5.9,Tyrese Haliburton,"PG,SG",IND,73,34.7,0.488(9.0/18.4),0.857(2.6/3.0),2.8,23.3,4,10.5,1.7,0.4,2.6,10
5,4.7,Jayson Tatum,"SF,PF",BOS,75,36.5,0.466(9.8/21.0),0.858(6.6/7.7),3.3,29.5,8.2,4.8,1.1,0.7,3,9.92
6,2.9,Luka Doncic,PG,DAL,66,35.8,0.492(11.0/22.4),0.761(7.8/10.2),3,32.7,8.8,8.1,1.3,0.5,3.6,9.86
7,6.7,Stephen Curry,PG,GS,65,34.6,0.476(9.4/19.8),0.914(4.5/4.9),4.7,28,5.6,5.6,0.9,0.3,3.3,9.78
8,10.8,Damian Lillard,PG,MIL,67,35.6,0.461(8.2/17.8),0.903(7.1/7.8),3.8,27.2,4,6.9,0.9,0.3,3.1,9.62
9,11.4,Kevin Durant,"SF,PF",PHO,60,34.2,0.522(8.8/16.8),0.900(5.9/6.6),1.9,25.3,6.5,5,0.7,1,3.1,9.61
10,13.8,Kyrie Irving,"PG,SG",DAL,62,36.4,0.486(9.8/20.1),0.908(4.0/4.4),3.2,26.7,4.8,5.5,1.2,0.7,2.2,9.52
11,11.8,Anthony Davis,"PF,C",LAL,60,33.5,0.550(9.3/17.0),0.759(5.3/7.0),0.3,24.3,11.2,2.8,1.1,2.1,2.1,9.33
12,12,LaMelo Ball,"PG,SG",CHA,69,34.9,0.428(8.3/19.4),0.860(3.0/3.5),3.7,23.4,7,8.6,1.6,0.4,3.6,8.72
13,18.3,Donovan Mitchell,"PG,SG",CLE,69,35.6,0.477(9.8/20.5),0.860(4.5/5.2),3.6,27.7,4.4,4.4,1.5,0.3,2.7,8.25
14,16.3,Devin Booker,"SG,SF",PHO,68,35.1,0.487(9.8/20.1),0.861(5.3/6.1),2.3,27.2,4.9,6.3,1.1,0.4,2.6,7.71
15,20.7,Trae Young,PG,ATL,75,34.8,0.434(8.9/20.4),0.895(7.2/8.1),2.2,27.1,3.4,10,1.1,0.1,4.1,7.56
16,18.7,Domantas Sabonis,"PF,C",SAC,72,34.6,0.608(7.4/12.2),0.743(4.1/5.5),0.5,19.5,12.4,7.3,0.9,0.5,3,7.41
17,17.2,Jaren Jackson Jr.,"PF,C",MEM,69,29.2,0.479(7.0/14.6),0.795(4.0/5.0),1.7,19.6,7.1,1.2,1,2.6,2,7.4
18,24.8,James Harden,"PG,SG",PHI,60,35.5,0.424(5.9/13.8),0.862(5.9/6.8),2.4,20,5.6,10.1,1.1,0.5,3.8,7.39
19,27,Jimmy Butler,"SF,PF",MIA,65,33.3,0.511(7.0/13.6),0.859(6.9/8.0),0.5,21.3,5.7,5,1.6,0.4,1.8,7.22
20,27.6,Kawhi Leonard,"SG,SF",LAC,56,33.4,0.504(8.4/16.7),0.863(4.4/5.1),1.9,23.2,6.2,3.7,1.3,0.5,1.7,7.2
21,8.7,Giannis Antetokounmpo,"PF,C",MIL,65,32,0.565(9.7/17.1),0.683(8.0/11.8),0.9,28.3,11.6,5.7,1.1,1,3.6,6.96
22,27,Karl-Anthony Towns,"PF,C",MIN,70,32.9,0.498(7.5/15.0),0.849(4.4/5.2),2.1,21.4,8.5,4.6,0.7,0.7,2.8,6.65
23,14,Anthony Edwards,"SG,SF",MIN,76,35.8,0.464(9.2/19.9),0.769(4.3/5.6),3,25.8,5.7,4.8,1.6,0.7,3.2,6.63
24,19.4,Mikal Bridges,"SG,SF",BKN,80,35.6,0.475(9.1/19.2),0.880(4.7/5.4),2.4,25.4,4.6,3.4,1.1,0.6,1.8,6.58
25,26.3,Lauri Markkanen,"SF,PF",UTA,66,33.4,0.489(8.0/16.4),0.870(5.0/5.7),2.9,23.9,8,1.9,0.7,0.6,1.9,6.52
26,22.3,Desmond Bane,"SG,SF",MEM,70,32.1,0.470(8.2/17.6),0.890(2.8/3.1),3.4,22.6,5.4,4,1.2,0.4,2.2,6.49
27,30.6,Paul George,"SG,SF,PF",LAC,60,34.6,0.443(8.0/18.1),0.867(4.2/4.9),2.8,23,6.1,5,1.5,0.4,3.3,6.35
28,33.4,Bam Adebayo,C,MIA,72,34.1,0.536(7.9/14.7),0.803(4.5/5.6),0,20.2,9.8,3.5,1.3,0.8,2.6,6
29,25.6,LeBron James,"SF,PF",LAL,56,34,0.501(10.1/20.1),0.761(4.2/5.5),2.3,26.7,7.6,6,0.8,0.5,3.1,5.98
30,43.6,Kristaps Porzingis,"PF,C",BOS,60,31.1,0.478(6.5/13.5),0.852(4.0/4.7),1.8,18.7,7.9,2.1,0.8,1.5,1.8,5.84
31,35.7,Myles Turner,C,IND,64,29.5,0.534(5.9/11.0),0.774(2.9/3.7),1.5,16.1,7.4,1.3,0.6,2.3,1.5,5.83
32,40.3,Darius Garland,PG,CLE,69,35.6,0.462(7.8/17.0),0.877(3.6/4.1),2.5,21.8,3,7.8,1.2,0.1,3,5.52
33,48,DeMar DeRozan,SG,CHI,74,35.8,0.504(9.1/18.0),0.870(6.0/6.9),0.6,24.7,4.6,4.9,1,0.4,2.1,5.51
