Player,Team,Positions,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO
Shai Gilgeous-Alexander,OKC,PG,32.4,5.3,6.3,0.9,1.8,0.52,0.893,1.8,76,34.9,2.5
Giannis Antetokounmpo,MIL,"PF,C",32.2,11.6,6.6,1,1,0.586,0.638,0.4,74,35.4,3.5
Luka Doncic,LAL,"PG,SG",29.7,8.5,8.5,0.5,1.5,0.478,0.774,3.1,74,36.4,3.9
Nikola Jokic,DEN,C,27.6,12.3,9.6,0.7,1.6,0.575,0.807,1.6,75,36.1,3.2
Anthony Edwards,MIN,"PG,SF,SG",27.3,5.9,5.1,0.7,1.3,0.45,0.822,3.6,78,36.8,3.2
Devin Booker,PHO,"PG,SG",26.5,4.1,6.9,0.3,0.9,0.469,0.886,2.3,75,37,2.8
Joel Embiid,PHI,C ,26.2,8.4,4.1,1.2,0.9,0.5,0.873,1.1,59,31.3,3.1
Jaylen Brown,BOS,"SG,SF",26,6.8,4.5,0.6,1.5,0.478,0.738,2.3,75,35.7,3
Jalen Brunson,NYK,PG,25.7,3.1,6.9,0.2,0.9,0.484,0.828,2.3,74,35.6,2.4
Donovan Mitchell,CLE,"PG,SG",25.6,4.6,5.2,0.3,1.5,0.455,0.836,3.5,75,33.4,2.4
Cade Cunningham,DET,"PG,SG",25.4,5.8,8.5,0.6,1,0.463,0.85,2.1,74,35.4,4.2
Stephen Curry,GSW,PG,25,4.5,5.5,0.4,1,0.451,0.925,4.4,74,33,2.8
Trae Young,ATL,PG ,25,3.1,11.1,0.2,1.3,0.418,0.873,2.9,76,35.9,4.6
Ja Morant,MEM,PG ,24.9,5.3,8.1,0.3,1.2,0.455,0.785,1.7,72,33.1,3.6
Tyrese Maxey,PHI,"PG,SG ",24.7,3.2,5.5,0.3,1.4,0.451,0.873,3,74,37.2,2
Kevin Durant,HOU,"SF,PF",24.7,5.9,4,1,0.8,0.514,0.859,2.2,72,33.9,2.7
LeBron James,LAL,"SF,PF",24.5,7.5,7.8,0.6,1,0.524,0.772,2.1,73,35.4,3.5
Anthony Davis,DAL,"PF,C ",24.4,11.9,3.4,2.2,1.2,0.54,0.793,0.5,70,35.2,2.1
LaMelo Ball,CHA,"PG,SG ",24.4,5,7.5,0.3,1.2,0.408,0.847,3.9,70,34,3.6
Victor Wembanyama,SAS,C ,23.9,10.5,3.8,3.4,1.2,0.467,0.827,2.4,74,33.3,3.4
Kyrie Irving,DAL,"PG,SG ",23.8,4.5,4.7,0.5,1.2,0.484,0.907,2.6,37,35.5,2
Zion Williamson,NOR,"PF,SF",23.5,6.2,5,0.7,1.2,0.572,0.686,0.1,68,32.1,3
Paolo Banchero,ORL,"C,PF,SF",23.4,7.6,4.8,0.7,0.9,0.446,0.729,1.6,74,35.1,3
De'Aaron Fox,SAS,"PG,SG",22.8,4.2,5.8,0.4,1.5,0.465,0.79,1.9,72,35.1,2.6
Pascal Siakam,IND,"C,PF,SF",22.7,7.5,4.7,0.5,0.9,0.514,0.74,1.5,77,35.2,1.8
DeMar DeRozan,SAC,"PF,SF",22.6,4.1,4.7,0.5,1,0.48,0.859,1,77,36.6,1.6
Franz Wagner,ORL,"PF,SF",22.5,5.4,4.4,0.4,1.2,0.468,0.859,1.6,75,34.7,2.2
Karl-Anthony Towns,NYK,"PF,C ",22.5,10.9,3,0.6,0.9,0.512,0.842,2,75,34.2,2.5
Tyler Herro,MIA,"PG,SG ",22.4,5.2,5.5,0.2,0.9,0.464,0.885,3.2,63,35.1,2.4
Kawhi Leonard,LAC,"PF,SF ",22.3,5.9,3.4,0.5,1.6,0.511,0.842,2.1,63,33,1.9
Anfernee Simons,BOS,"PG,SG ",22,3.4,5.7,0.2,0.9,0.434,0.902,3.8,74,33.9,2.2
Jaren Jackson Jr.,MEM,"PF,C ",21.7,6.2,1.9,1.7,1.2,0.481,0.794,1.8,74,31.4,2.1
Zach LaVine,SAC,"PG,SF,SG",21.7,4.2,3.8,0.2,0.8,0.498,0.835,2.8,73,34.5,2.4
