R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3pm,PTS,TREB,AST,STL,BLK,TO,TOTAL
1,4,Victor Wembanyama,C,SA,70,31.1,0.473 (8.8/18.6),0.802 (4.5/5.6),2,24.1,11.6,4.4,1.4,3.9,3.4,14.1
2,1.8,Nikola Jokic,C,DEN,75,34.1,0.585 (10.4/17.8),0.819 (4.8/5.8),1.1,26.7,12.1,9,1.4,0.9,3,14.01
3,4.1,Shai Gilgeous-Alexander,PG,OKC,73,33.5,0.524 (10.2/19.5),0.880 (8.1/9.2),1.4,29.9,5.1,6.5,1.9,0.9,2.4,13.5
4,2.6,Luka Doncic,PG,DAL,68,36.8,0.491 (11.3/23.0),0.792 (7.6/9.7),4.1,34.4,9.3,9.9,1.4,0.5,3.8,13.11
5,8.8,Joel Embiid,C,PHI,62,32.8,0.518 (9.4/18.2),0.871 (9.0/10.3),1.3,29.2,10.1,4,1,1.5,3.5,12.23
6,11.9,Anthony Davis,PF/C,LAL,67,34.5,0.559 (9.5/17.0),0.802 (5.8/7.3),0.4,25.2,12.7,3.6,1.2,2.3,2.1,12.09
7,5.4,Giannis Antetokounmpo,PF/C,MIL,71,34.6,0.614 (11.8/19.2),0.671 (7.0/10.5),0.6,31.1,11.8,6.7,1.2,1.1,3.4,9.91
8,10.7,Tyrese Haliburton,PG/SG,IND,69,33.6,0.483 (7.5/15.6),0.862 (3.1/3.5),3,21.1,3.9,11.1,1.4,0.7,2.5,9.67
9,18.6,Trae Young,PG,ATL,72,35.2,0.432 (8.4/19.5),0.877 (7.8/8.9),3.4,28.1,2.9,10.8,1.2,0.2,4.2,8.79
10,9.3,Jayson Tatum,SF/PF,BOS,75,35.8,0.469 (9.4/20.1),0.836 (6.1/7.3),2.9,27.9,9,5.1,1.1,0.7,2.5,8.71
11,28.3,James Harden,PG/SG,LAC,68,34.5,0.438 (6.5/14.8),0.871 (4.7/5.3),2.8,20.4,6.1,10.4,1.1,0.7,2.9,8.5
12,15.7,Stephen Curry,PG,GS,68,31.4,0.469 (8.8/18.7),0.918 (4.0/4.4),4.8,26.4,4.5,5.3,0.8,0.4,2.8,8.29
13,18,Donovan Mitchell,PG/SG,CLE,67,33.7,0.468 (9.1/19.5),0.866 (4.6/5.4),3.3,26.2,4.4,5.4,1.6,0.4,2.8,7.93
14,29.4,Kyrie Irving,PG/SG,DAL,61,34.8,0.495 (9.2/18.6),0.907 (3.2/3.6),3,24.6,4.9,5.2,1.2,0.6,1.8,7.9
15,18,Kevin Durant,PF,PHO,65,35.2,0.520 (9.5/18.3),0.846 (4.6/5.5),2.1,25.7,6.4,4.8,0.8,1.2,3.2,7.69
16,13.3,LeBron James,SF/PF,LAL,67,34,0.535 (9.4/17.6),0.758 (4.3/5.6),2.1,25.2,7.2,8.2,1.1,0.5,3.3,7.52
17,21,Scottie Barnes,SG/SF/PF,TOR,70,34.8,0.479 (7.0/14.5),0.791 (3.5/4.4),1.7,19.1,8.3,6,1.3,1.5,2.4,7.34
18,29.3,Damian Lillard,PG,MIL,70,35.2,0.432 (7.7/17.8),0.918 (6.5/7.0),3.1,24.9,4.5,7.1,0.9,0.3,2.9,7.26
19,18.1,Devin Booker,PG/SG,PHO,68,35.1,0.490 (9.9/20.1),0.873 (5.9/6.8),2.2,27.8,4.5,5.5,1,0.4,2.7,7.23
20,33.2,LaMelo Ball,PG,CHA,58,32.4,0.427 (8.2/19.2),0.857 (3.2/3.7),3.6,23.2,5.7,8.6,1.6,0.3,3.5,7.19
21,8.7,Domantas Sabonis,PF/C,SAC,77,35.6,0.604 (7.7/12.7),0.725 (3.9/5.4),0.4,19.7,13,7.9,0.9,0.6,3.2,7.14
22,44.6,Lauri Markkanen,SF/PF,UTA,64,33.5,0.483 (8.3/17.1),0.884 (4.9/5.6),3.1,24.5,8.4,1.9,0.8,0.5,1.7,6.72
23,29.2,Chet Holmgren,C,OKC,75,30.6,0.530 (6.5/12.2),0.793 (2.8/3.5),1.7,17.4,8.1,2.6,0.7,2.3,1.7,6.64
24,42.1,Kawhi Leonard,SF/PF,LAC,48,32,0.519 (8.1/15.6),0.880 (3.8/4.3),1.9,21.9,5.8,3.4,1.2,0.6,1.7,6.39
25,42.6,Paul George,SF/PF,PHI,69,33.6,0.465 (7.8/16.8),0.888 (3.9/4.4),3,22.5,5.1,3.4,1.5,0.4,2.5,6.11
26,9.1,Anthony Edwards,SG/SF,MIN,79,35.4,0.460 (9.3/20.3),0.823 (5.0/6.1),2.5,26.2,5.5,5.2,1.4,0.7,3.1,6.1
27,14.3,Jalen Brunson,PG,NY,74,34.9,0.484 (9.5/19.6),0.839 (5.2/6.1),2.6,26.8,3.6,6.5,0.9,0.2,2.3,5.42
28,42.1,Karl-Anthony Towns,PF/C,MIN,67,32.7,0.501 (7.4/14.8),0.873 (4.1/4.7),2.2,21.2,8.1,3.3,0.7,0.6,2.9,5.38
29,59.5,Jimmy Butler,SG/SF/PF,MIA,60,33.1,0.492 (6.5/13.2),0.855 (6.9/8.1),0.8,20.7,5.4,5.1,1.3,0.3,1.6,5.35
30,62.5,Fred VanVleet,PG,HOU,70,36,0.406 (5.7/14.1),0.874 (3.0/3.4),2.9,17.3,3.7,7.6,1.4,0.7,1.8,4.89
31,47.6,Jaren Jackson Jr.,PF/C,MEM,68,30.2,0.471 (7.3/15.5),0.800 (4.5/5.6),1.7,20.7,6.2,1.7,1.1,1.8,2.1,4.75
32,23.8,Tyrese Maxey,PG/SG,PHI,70,36.2,0.462 (8.5/18.4),0.858 (4.0/4.7),2.9,23.9,3.4,5.8,0.9,0.3,1.5,4.68
