RNK,PLAYER,GP,MPG,PTS,3PM,TREB,AST,STL,BLK,TO,FG%,FGA,FT%,FTA
1,Victor Wembanyama,72,33.5,27.3,3.39,11.78,4.38,1.27,3.85,3.12,49%,19.52,83%,5.93
2,Nikola Jokic,72,35.4,27.8,1.98,11.72,10.36,1.27,0.87,3.17,58%,19.97,81%,6.64
3,Shai Gilgeous-Alexander,74,32.5,32.1,2.05,4.82,6.52,1.59,1.0,2.26,51%,21.21,90%,9.12
4,Luka Doncic,72,35.4,30.6,3.73,7.87,8.64,1.87,0.45,3.76,48%,21.13,79%,8.69
5,Anthony Davis,64,33.2,24.0,0.97,9.73,4.31,1.07,2.25,2.72,50%,17.52,78%,6.96
6,Stephen Curry,65,32.6,25.2,4.56,4.54,5.95,1.0,0.4,2.74,47%,19.02,94%,4.44
7,Kevin Durant,68,33.1,26.2,2.96,6.53,5.59,0.83,0.91,2.67,53%,16.14,84%,5.37
8,Karl-Anthony Towns,72,33.1,23.5,2.0,10.58,4.95,0.96,0.69,2.67,53%,16.14,84%,5.37
9,Cade Cunningham,75,35.1,27.5,2.34,5.7,9.34,1.08,0.73,4.17,48%,20.94,85%,5.78
10,Evan Mobley,74,31.6,19.6,1.61,9.76,3.66,0.89,1.77,2.11,55%,13.33,73%,4.58
11,Devin Booker,73,35.4,29.1,2.97,4.78,8.0,0.88,0.3,3.85,47%,21.12,88%,6.89
12,Donovan Mitchell,69,31.4,26.1,3.34,4.63,5.55,1.26,0.27,2.32,46%,18.77,86%,6.24
13,Anthony Edwards,79,36.5,28.5,4.28,5.51,4.62,1.13,0.66,3.24,45%,20.54,84%,6.89
14,Jalen Williams,71,32.4,23.3,1.95,5.84,5.34,1.66,0.39,2.84,49%,15.23,88%,5.18
15,Tyrese Maxey,74,38.7,25.7,3.36,3.35,6.32,1.26,0.64,2.43,49%,20.23,88%,5.43
16,James Harden,74,34.6,21.2,2.99,5.53,8.12,1.34,0.7,3.79,42%,14.74,88%,6.72
17,Joel Embiid,32,27.4,22.4,1.37,7.99,4.24,0.72,1.01,3.09,47%,14.23,88%,8.52
18,Kawhi Leonard,52,32.4,21.9,2.09,6.05,3.12,1.59,0.63,1.81,50%,16.68,85%,3.59
19,Amen Thompson,72,35.4,16.4,0.53,8.64,5.54,1.7,1.45,2.03,57%,11.28,68%,4.4
20,Jimmy Butler III,66,33.4,16.5,0.72,5.29,5.75,1.59,0.27,1.41,51%,10.26,87%,6.14
21,LeBron James,69,34.4,24.7,2.24,7.25,7.37,1.09,0.55,3.43,52%,17.84,79%,4.94
22,Chet Holmgren,74,32.4,17.6,1.92,8.73,2.77,1.75,2.57,2.34,51%,11.68,83%,3.04
23,Trey Murphy III,70,34.4,21.4,3.28,5.02,4.21,1.08,0.64,1.91,45%,15.57,88%,4.47
24,Derrick White,63,35.1,19.0,3.65,5.0,6.25,1.17,1.06,2.45,43%,14.57,86%,3.84
25,Domantas Sabonis,74,35.4,18.5,1.06,14.17,6.28,0.73,0.28,2.92,58%,12.51,75%,3.77
26,Lauri Markkanen,66,32.4,22.1,3.33,7.16,1.82,0.74,0.49,1.44,46%,15.61,89%,4.8
27,Josh Giddey,75,34.1,19.0,1.68,9.19,9.07,1.26,0.63,3.55,48%,13.82,79%,5.14
28,Jamal Murray,66,34.5,21.7,2.42,3.8,6.1,1.25,0.44,2.25,48%,16.83,88%,3.61
29,Jalen Johnson,61,35.6,18.7,1.16,9.62,5.24,1.52,0.96,2.84,51%,14.9,75%,3.3
30,Ivica Zubac,74,31.3,16.7,0.0,12.04,2.54,0.56,1.16,1.37,63%,11.54,70%,2.98
31,Jaren Jackson Jr.,67,30.6,22.8,2.18,5.76,2.24,1.22,1.54,2.34,48%,16.82,79%,5.73
32,Tyler Herro,72,33.4,23.6,3.25,4.73,5.33,1.06,0.52,2.84,47%,17.83,87%,5.32
33,Trae Young,72,35.1,24.7,3.11,2.86,11.44,1.21,0.08,4.52,42%,17.6,87%,7.37
34,Kristaps Porzingis,51,27.0,19.4,2.3,7.04,1.94,0.71,1.47,1.28,46%,13.82,82%,5.25
35,Dyson Daniels,72,33.1,14.0,0.92,5.65,4.7,2.8,0.7,1.28,46%,11.6,64%,1.5
36,Austin Reaves,75,35.5,21.3,2.85,4.2,5.21,1.05,0.33,2.41,47%,14.55,87%,5.5
37,Mark Williams,52,27.5,16.4,0.02,10.93,2.51,0.84,1.21,2.15,60%,10.99,78%,3.92
38,Michael Porter Jr.,65,34.0,22.1,3.15,8.4,2.7,0.6,0.62,1.8,48%,16.6,83%,3.62
39,Coby White,74,32.7,22.4,3.08,3.98,4.34,0.88,0.21,2.4,47%,15.6,90%,5.28
40,Myles Turner,74,31.5,17.7,2.49,6.38,1.73,0.84,2.09,1.94,48%,12.09,77%,3.58
41,Franz Wagner,72,34.3,22.5,1.98,5.89,4.17,1.22,0.37,2.21,47%,17.48,87%,4.54
